Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Banlieue Nord,300000.0,150.0,Jumia TN,L-TN-00171166,2000.0
Banlieue Nord,275000.0,130.0,Jumia TN,L-TN-00174403,2115.3846153846152
Mannouba,105000.0,103.0,Jumia TN,L-TN-00170529,1019.4174757281553
Nabeul,140250.0,88.0,Jumia TN,L-TN-00171086,1593.75
Banlieue Nord,340000.0,147.0,Jumia TN,L-TN-00169158,2312.925170068027
Sousse,335000.0,119.0,Jumia TN,L-TN-00170256,2815.126050420168
Nabeul,240000.0,104.0,Jumia TN,L-TN-00165086,2307.6923076923076
Sousse,180000.0,144.0,Jumia TN,L-TN-00172153,1250.0
Banlieue Nord,1360000.0,350.0,Jumia TN,L-TN-00167333,3885.714285714286
Nabeul,270000.0,95.0,Jumia TN,L-TN-00165121,2842.1052631578946
Ben arous,180000.0,110.0,Jumia TN,L-TN-00172276,1636.3636363636363
Sousse,420000.0,102.0,Jumia TN,L-TN-00172638,4117.64705882353
Sousse,405000.0,135.0,Jumia TN,L-TN-00163791,3000.0
Ariana,89880.0,53.0,Jumia TN,L-TN-00167645,1695.8490566037735
Banlieue Nord,630000.0,171.0,Jumia TN,L-TN-00164064,3684.2105263157896
Nabeul,370000.0,160.0,Jumia TN,L-TN-00164429,2312.5
Ariana,410000.0,143.0,Jumia TN,L-TN-00173456,2867.132867132867
Sousse,120000.0,75.0,Jumia TN,L-TN-00166455,1600.0
Ben arous,180000.0,140.0,Jumia TN,L-TN-00169722,1285.7142857142858
Nabeul,195000.0,98.0,Jumia TN,L-TN-00171084,1989.795918367347
Sousse,100000.0,90.0,Jumia TN,L-TN-00172279,1111.111111111111
Ariana,250000.0,104.0,Jumia TN,L-TN-00170401,2403.846153846154
Ariana,149000.0,70.0,Jumia TN,L-TN-00170546,2128.5714285714284
Ariana,230000.0,118.0,Jumia TN,L-TN-00173635,1949.1525423728813
Nabeul,95000.0,50.0,Jumia TN,L-TN-00167218,1900.0
Ariana,725000.0,260.0,Jumia TN,L-TN-00160753,2788.4615384615386
Nabeul,150000.0,97.0,Jumia TN,L-TN-00163509,1546.3917525773195
Sousse,190000.0,144.0,Jumia TN,L-TN-00166133,1319.4444444444443
Nabeul,231000.0,140.0,Jumia TN,L-TN-00171090,1650.0
Mahdia,85000.0,85.0,Jumia TN,L-TN-00171026,1000.0
Nabeul,115000.0,135.0,Jumia TN,L-TN-00149487,851.8518518518518
Sousse,360000.0,156.0,Jumia TN,L-TN-00120823,2307.6923076923076
Ariana,185000.0,109.0,Jumia TN,L-TN-00168741,1697.2477064220184
Sousse,250000.0,90.0,Jumia TN,L-TN-00150151,2777.777777777778
Djerba,240000.0,130.0,Jumia TN,L-TN-00150660,1846.1538461538462
Banlieue Nord,685000.0,2.0,Jumia TN,L-TN-00105789,342500.0
Banlieue Nord,800000.0,286.0,Jumia TN,L-TN-00152625,2797.2027972027972
Ben arous,125000.0,83.0,Jumia TN,L-TN-00129149,1506.0240963855422
Ben arous,147.0,105.0,Jumia TN,L-TN-00127267,1.4
Sousse,180000.0,84.0,Jumia TN,L-TN-00105087,2142.8571428571427
Banlieue Nord,250000.0,149.0,Jumia TN,L-TN-00126489,1677.8523489932886
Banlieue Nord,2800.0,137.0,Jumia TN,L-TN-00170517,20.437956204379564
Banlieue Nord,195000.0,85.0,Jumia TN,L-TN-00140267,2294.1176470588234
Banlieue Nord,380000.0,134.0,Jumia TN,L-TN-00151401,2835.820895522388
Ariana,110000.0,100.0,Jumia TN,L-TN-00154260,1100.0
Banlieue Nord,260000.0,100.0,Jumia TN,L-TN-00171708,2600.0
Ariana,288418.0,125.0,Jumia TN,L-TN-00164686,2307.344
Sousse,130000.0,99.0,Jumia TN,L-TN-00157318,1313.1313131313132
Sousse,130000.0,50.0,Jumia TN,L-TN-00120796,2600.0
Sousse,170000.0,86.0,Jumia TN,L-TN-00135333,1976.7441860465117
Nabeul,370000.0,160.0,Jumia TN,L-TN-00167145,2312.5
Sousse,265000.0,80.0,Jumia TN,L-TN-00134341,3312.5
Ariana,1700.0,130.0,Jumia TN,L-TN-00158103,13.076923076923077
Banlieue Nord,235000.0,121.0,Jumia TN,L-TN-00168764,1942.1487603305786
Banlieue Nord,295000.0,150.0,Jumia TN,L-TN-00170571,1966.6666666666667
Sousse,190000.0,144.0,Jumia TN,L-TN-00149369,1319.4444444444443
Banlieue Nord,240000.0,130.0,Jumia TN,L-TN-00145166,1846.1538461538462
Banlieue Nord,244000.0,144.0,Jumia TN,L-TN-00162233,1694.4444444444443
Ariana,206000.0,118.0,Jumia TN,L-TN-00154606,1745.7627118644068
Banlieue Nord,175000.0,88.0,Jumia TN,L-TN-00105295,1988.6363636363637
Banlieue Nord,365000.0,147.0,Jumia TN,L-TN-00165450,2482.9931972789113
Nabeul,125000.0,65.0,Jumia TN,L-TN-00155386,1923.076923076923
Sousse,160000.0,95.0,Jumia TN,L-TN-00120824,1684.2105263157894
Banlieue Nord,320000.0,100.0,Jumia TN,L-TN-00132655,3200.0
Nabeul,1300000.0,156.0,Jumia TN,L-TN-00101455,8333.333333333334
Ariana,305000.0,131.0,Jumia TN,L-TN-00154535,2328.2442748091603
Ariana,160000.0,150.0,Jumia TN,L-TN-00149255,1066.6666666666667
Sousse,400000.0,280.0,Jumia TN,L-TN-00150681,1428.5714285714287
Sousse,230000.0,76.0,Jumia TN,L-TN-00159053,3026.315789473684
Ariana,310000.0,145.0,Jumia TN,L-TN-00169506,2137.9310344827586
Banlieue Nord,703000.0,258.0,Jumia TN,L-TN-00171211,2724.8062015503874
Sousse,2300.0,90.0,Jumia TN,L-TN-00147755,25.555555555555557
Banlieue Nord,570000.0,2.0,Jumia TN,L-TN-00107173,285000.0
Nabeul,75000.0,55.0,Jumia TN,L-TN-00086713,1363.6363636363637
Banlieue Nord,784000.0,225.0,Jumia TN,L-TN-00173097,3484.4444444444443
Banlieue Nord,476000.0,171.0,Jumia TN,L-TN-00170795,2783.625730994152
Sousse,215000.0,130.0,Jumia TN,L-TN-00169738,1653.8461538461538
Ariana,367000.0,145.0,Jumia TN,L-TN-00159323,2531.0344827586205
Ariana,323400.0,147.0,Jumia TN,L-TN-00136496,2200.0
Banlieue Nord,620000.0,185.0,Jumia TN,L-TN-00154292,3351.3513513513512
Ben arous,239000.0,147.0,Jumia TN,L-TN-00156791,1625.8503401360545
Ariana,153000.0,130.0,Jumia TN,L-TN-00154285,1176.923076923077
Sousse,190000.0,118.0,Jumia TN,L-TN-00167692,1610.1694915254238
Ariana,405000.0,167.0,Jumia TN,L-TN-00123923,2425.1497005988026
Banlieue Nord,275000.0,167.0,Jumia TN,L-TN-00172308,1646.7065868263473
Nabeul,130000.0,90.0,Jumia TN,L-TN-00165294,1444.4444444444443
Ariana,286000.0,112.0,Jumia TN,L-TN-00127520,2553.5714285714284
Nabeul,380000.0,107.0,Jumia TN,L-TN-00155937,3551.4018691588785
Ariana,89040.0,53.0,Jumia TN,L-TN-00153508,1680.0
Ariana,250000.0,136.0,Jumia TN,L-TN-00156115,1838.235294117647
Ariana,239750.0,138.0,Jumia TN,L-TN-00153763,1737.3188405797102
Sousse,175000.0,67.0,Jumia TN,L-TN-00163225,2611.9402985074626
Ariana,160000.0,50.0,Jumia TN,L-TN-00153424,3200.0
Sousse,165000.0,110.0,Jumia TN,L-TN-00156905,1500.0
Nabeul,750000.0,200.0,Jumia TN,L-TN-00092109,3750.0
Banlieue Nord,1600000.0,260.0,Jumia TN,L-TN-00100399,6153.846153846154
Banlieue Nord,689000.0,2.0,Jumia TN,L-TN-00130386,344500.0
Banlieue Nord,250000.0,140.0,Jumia TN,L-TN-00136480,1785.7142857142858
Banlieue Nord,850000.0,2.0,Jumia TN,L-TN-00067070,425000.0
Banlieue Nord,365000.0,140.0,Jumia TN,L-TN-00149849,2607.1428571428573
Banlieue Nord,450000.0,283.0,Jumia TN,L-TN-00126483,1590.1060070671379
Banlieue Nord,360000.0,2.0,Jumia TN,L-TN-00106994,180000.0
Banlieue Nord,400000.0,152.0,Jumia TN,L-TN-00152665,2631.5789473684213
Banlieue Nord,600000.0,281.0,Jumia TN,L-TN-00105065,2135.2313167259786
Banlieue Nord,485000.0,177.0,Jumia TN,L-TN-00168744,2740.1129943502824
Sousse,250000.0,123.0,Jumia TN,L-TN-00145974,2032.520325203252
Banlieue Nord,298000.0,113.0,Jumia TN,L-TN-00149408,2637.16814159292
Sousse,130000.0,99.0,Jumia TN,L-TN-00154228,1313.1313131313132
Sousse,440000.0,130.0,Jumia TN,L-TN-00143589,3384.6153846153848
Banlieue Nord,280000.0,2.0,Jumia TN,L-TN-00110941,140000.0
Nabeul,50000.0,50.0,Jumia TN,L-TN-00164634,1000.0
Sousse,170000.0,106.0,Jumia TN,L-TN-00161586,1603.7735849056603
Sousse,259000.0,130.0,Jumia TN,L-TN-00141052,1992.3076923076924
Banlieue Nord,1500000.0,220.0,Jumia TN,L-TN-00164810,6818.181818181818
Tunis,175.0,90.0,Tayara TN,71c8b03f-3fb2-4df8-b255-9e2c989bc522,1.9444444444444444
Banlieue Nord,350000.0,109.0,Jumia TN,L-TN-00145742,3211.0091743119265
Nabeul,630000.0,110.0,Jumia TN,L-TN-00158552,5727.272727272727
Banlieue Nord,130000.0,107.0,Jumia TN,L-TN-00170609,1214.9532710280373
Sousse,180000.0,144.0,Jumia TN,L-TN-00153081,1250.0
Nabeul,250000.0,67.0,Jumia TN,L-TN-00092107,3731.3432835820895
Ariana,210000.0,105.0,Jumia TN,L-TN-00153458,2000.0
Banlieue Nord,151800.0,69.0,Jumia TN,L-TN-00154578,2200.0
Ben arous,85000.0,80.0,Jumia TN,L-TN-00131745,1062.5
Sousse,206000.0,139.0,Jumia TN,L-TN-00156855,1482.0143884892086
Ariana,272000.0,129.0,Jumia TN,L-TN-00156925,2108.5271317829456
Sousse,160000.0,122.0,Jumia TN,L-TN-00171434,1311.4754098360656
Nabeul,262000.0,135.0,Jumia TN,L-TN-00153609,1940.7407407407406
Banlieue Nord,400000.0,152.0,Jumia TN,L-TN-00154081,2631.5789473684213
Banlieue Nord,720000.0,180.0,Jumia TN,L-TN-00172320,4000.0
Nabeul,212000.0,106.0,Jumia TN,L-TN-00122179,2000.0
Nabeul,260000.0,125.0,Jumia TN,L-TN-00167125,2080.0
Nabeul,250000.0,127.0,Jumia TN,L-TN-00160727,1968.5039370078741
Sousse,340000.0,100.0,Jumia TN,L-TN-00110384,3400.0
Banlieue Nord,378000.0,151.0,Jumia TN,L-TN-00158123,2503.3112582781455
Banlieue Nord,3500.0,2.0,Jumia TN,L-TN-00127616,1750.0
Ariana,265000.0,133.0,Jumia TN,L-TN-00173720,1992.4812030075188
Banlieue Nord,2500.0,235.0,Jumia TN,L-TN-00146602,10.638297872340425
Banlieue Nord,650000.0,2.0,Jumia TN,L-TN-00150533,325000.0
Ariana,500000.0,232.0,Jumia TN,L-TN-00149793,2155.1724137931033
Banlieue Nord,485000.0,2.0,Jumia TN,L-TN-00132070,242500.0
