Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size
Sousse,250000.0,142.0,V,Jumia TN,L-TN-00130594,1760.5633802816901
Banlieue Nord,1000.0,100.0,L,Tunisie-annonce TN,2344636,10.0
Jendouba,800.0,80.0,L,Tunisie-annonce TN,1540310,10.0
Banlieue Nord,250000.0,168.0,V,Jumia TN,L-TN-00149853,1488.095238095238
Banlieue Nord,1200.0,70.0,L,Tunisie-annonce TN,2791863,17.142857142857142
Banlieue Nord,293000.0,73.0,V,Jumia TN,L-TN-00114806,4013.698630136986
Mahdia,100.0,80.0,L,Tunisie-annonce TN,2831259,1.25
Banlieue Nord,190000.0,76.0,V,Jumia TN,L-TN-00159862,2500.0
Mahdia,700.0,120.0,L,Tunisie-annonce TN,2612436,5.833333333333333
Banlieue Nord,240000.0,100.0,V,Jumia TN,L-TN-00163303,2400.0
Ariana,2600.0,180.0,L,Tunisie-annonce TN,2741683,14.444444444444445
Ariana,950.0,100.0,L,Tunisie-annonce TN,2767091,9.5
Ben arous,850.0,85.0,L,Tunisie-annonce TN,2794751,10.0
Banlieue Nord,650000.0,200.0,V,Jumia TN,L-TN-00126525,3250.0
Sousse,550.0,85.0,L,Tunisie-annonce TN,2534163,6.470588235294118
Banlieue Nord,3000.0,190.0,L,Tunisie-annonce TN,2801570,15.789473684210526
Banlieue Nord,4400.0,310.0,L,Tunisie-annonce TN,2799723,14.193548387096774
Tunis,1200.0,105.0,L,Tunisie-annonce TN,2748705,11.428571428571429
Sousse,105000.0,24.0,V,Jumia TN,L-TN-00126181,4375.0
Banlieue Nord,4500.0,234.0,L,Tunisie-annonce TN,2798015,19.23076923076923
Banlieue Nord,222000.0,73.0,V,Jumia TN,L-TN-00162282,3041.095890410959
Ariana,520.0,100.0,L,Tunisie-annonce TN,2830561,5.2
Nabeul,82000.0,40.0,V,Jumia TN,L-TN-00164669,2050.0
Ariana,470.0,80.0,L,Tunisie-annonce TN,2745599,5.875
Ariana,358000.0,170.0,V,Jumia TN,L-TN-00132324,2105.8823529411766
Cite el khadra,780.0,70.0,L,Tunisie-annonce TN,2831294,11.142857142857142
Djerba,128400.0,130.0,V,Jumia TN,L-TN-00013720,987.6923076923077
Banlieue Nord,860.0,128.0,L,Tunisie-annonce TN,2831293,6.71875
Nabeul,99.0,75.0,L,Tunisie-annonce TN,2654583,1.32
Nabeul,240000.0,150.0,V,Jumia TN,L-TN-00161783,1600.0
Nabeul,99.0,75.0,L,Tunisie-annonce TN,2594293,1.32
Sousse,255000.0,51.0,V,Jumia TN,L-TN-00150355,5000.0
Banlieue Nord,600.0,65.0,L,Tunisie-annonce TN,1259758,9.23076923076923
Banlieue Nord,250000.0,101.0,V,Jumia TN,L-TN-00141522,2475.2475247524753
Ben arous,650.0,150.0,L,Tunisie-annonce TN,2702930,4.333333333333333
Ariana,940.0,100.0,L,Tunisie-annonce TN,2820175,9.4
Ariana,600.0,150.0,L,Tunisie-annonce TN,2764747,4.0
Ben arous,430.0,100.0,L,Tunisie-annonce TN,2831273,4.3
Banlieue Nord,240000.0,130.0,V,Jumia TN,L-TN-00145166,1846.1538461538462
Nabeul,300000.0,153.0,V,Jumia TN,L-TN-00153611,1960.7843137254902
