Country,Price,Size,Status,Marketplace
Banlieue Nord,270000.0,190.0,A vendre,Jumia TN
Nabeul,110000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,950000.0,400.0,A vendre,Jumia TN
Kairouan,35000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,670000.0,1.0,A vendre,Jumia TN
Sousse,168000.0,130.0,A vendre,Jumia TN
Banlieue Nord,330000.0,1.0,A vendre,Jumia TN
Banlieue Nord,850000.0,197.0,A vendre,Jumia TN
Sousse,155000.0,125.0,A vendre,Jumia TN
Nabeul,247215.0,106.0,A vendre,Jumia TN
Sousse,1100000.0,250.0,A vendre,Jumia TN
Ariana,385000.0,159.0,A vendre,Jumia TN
Banlieue Nord,178000.0,105.0,A vendre,Jumia TN
Banlieue Nord,345000.0,113.0,A vendre,Jumia TN
Sousse,140000.0,90.0,A vendre,Jumia TN
Sousse,130.0,157.36478304742684,À Vendre,Tayara TN
Ariana,250000.0,171.0,A vendre,Jumia TN
Ariana,352000.0,132.0,A vendre,Jumia TN
Banlieue Nord,150000.0,40.0,A vendre,Jumia TN
Banlieue Nord,250000.0,1.0,A vendre,Jumia TN
Ariana,4150000.0,250.0,A vendre,Jumia TN
Ariana,229000.0,122.0,A vendre,Jumia TN
Banlieue Nord,270000.0,135.0,A vendre,Jumia TN
Banlieue Nord,400000.0,152.0,A vendre,Jumia TN
Nabeul,240000.0,104.0,A vendre,Jumia TN
Sousse,155000.0,125.0,A vendre,Jumia TN
Banlieue Nord,326304.0,102.0,A vendre,Jumia TN
Banlieue Nord,270000.0,100.0,A vendre,Jumia TN
Nabeul,2500.0,196.0,A vendre,Jumia TN
Banlieue Nord,424160.0,153.0,A vendre,Jumia TN
Ariana,239750.0,138.0,A vendre,Jumia TN
Ariana,110000.0,39.0,A vendre,Jumia TN
Ariana,570000.0,1.0,A vendre,Jumia TN
Banlieue Nord,585000.0,1.0,A vendre,Jumia TN
Ben arous,145000.0,102.0,A vendre,Jumia TN
Sousse,330000.0,123.0,A vendre,Jumia TN
Ariana,439000.0,184.0,A vendre,Jumia TN
Sousse,370000.0,111.0,A vendre,Jumia TN
Banlieue Nord,410000.0,156.0,A vendre,Jumia TN
Ariana,223440.0,133.0,A vendre,Jumia TN
Nabeul,212000.0,106.0,A vendre,Jumia TN
Ariana,211190.0,121.0,A vendre,Jumia TN
Banlieue Nord,210000.0,1.0,A vendre,Jumia TN
Banlieue Nord,394872.0,144.0,A vendre,Jumia TN
Ben arous,160000.0,100.0,A vendre,Jumia TN
Nabeul,140000.0,80.0,A vendre,Jumia TN
Ben arous,135000.0,120.0,A vendre,Jumia TN
Sousse,250000.0,148.0,A vendre,Jumia TN
Banlieue Nord,297000.0,91.0,A vendre,Jumia TN
Sousse,167000.0,110.0,A vendre,Jumia TN
Ben arous,165000.0,100.0,A vendre,Jumia TN
Banlieue Nord,305000.0,1.0,A vendre,Jumia TN
Nabeul,97000.0,40.0,A vendre,Jumia TN
Ariana,210000.0,84.0,A vendre,Jumia TN
Nabeul,380000.0,157.0,A vendre,Jumia TN
Banlieue Nord,704000.0,258.0,A vendre,Jumia TN
Nabeul,650000.0,300.0,A vendre,Jumia TN
Sousse,310000.0,123.0,A vendre,Jumia TN
Nabeul,291500.0,157.36478304742684,À Vendre,Tayara TN
Ariana,260000.0,120.0,A vendre,Jumia TN
Sousse,167000.0,90.0,A vendre,Jumia TN
Sousse,141250.0,105.0,A vendre,Jumia TN
Ariana,181000.0,60.0,A vendre,Jumia TN
Sousse,495000.0,165.0,A vendre,Jumia TN
Sousse,420000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,170000.0,70.0,A vendre,Jumia TN
Ariana,369760.0,176.0,A vendre,Jumia TN
Sousse,340000.0,110.0,A vendre,Jumia TN
Ariana,250000.0,171.0,A vendre,Jumia TN
Nabeul,140000.0,60.0,A vendre,Jumia TN
Ariana,237000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,110000.0,38.0,A vendre,Jumia TN
Banlieue Nord,260000.0,1.0,A vendre,Jumia TN
Sousse,125000.0,50.0,A vendre,Jumia TN
Banlieue Nord,170000.0,98.0,A vendre,Jumia TN
Ariana,210000.0,117.0,A vendre,Jumia TN
Ben arous,155000.0,128.0,A vendre,Jumia TN
Nabeul,252000.0,126.0,A vendre,Jumia TN
Ariana,198000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,178000.0,104.0,A vendre,Jumia TN
Bizerte,185000.0,150.0,A vendre,Jumia TN
Banlieue Nord,135000.0,90.0,A vendre,Jumia TN
Ariana,258000.0,136.0,A vendre,Jumia TN
Ariana,250000.0,111.0,A vendre,Jumia TN
Ariana,150000.0,100.0,A vendre,Jumia TN
Banlieue Nord,430000.0,177.0,A vendre,Jumia TN
Banlieue Nord,250000.0,100.0,A vendre,Jumia TN
Ariana,440000.0,162.0,A vendre,Jumia TN
