Country,Price,Size,Status,Marketplace
Ben arous,16700.0,2000,A louer,Tunisie-annonce TN
Banlieue Nord,2500.0,235,A vendre,Jumia TN
Bardo,270.0,45,A louer,Tunisie-annonce TN
Bardo,220.0,45,A louer,Tunisie-annonce TN
Ben arous,160000.0,103,A vendre,Jumia TN
Ariana,275000.0,136,A vendre,Jumia TN
Bizerte,100.0,100,A louer,Tunisie-annonce TN
Ariana,190000.0,112,A vendre,Jumia TN
Nabeul,120.0,66,A louer,Tunisie-annonce TN
Banlieue Nord,850000.0,1,A vendre,Jumia TN
Tunis,600.0,,A louer,Tunisie-annonce TN
Ariana,183000.0,147,A vendre,Jumia TN
Banlieue Nord,700.0,120,A louer,Tunisie-annonce TN
Nabeul,9999.0,70,A louer,Tunisie-annonce TN
Tunis,470.0,,A louer,Tunisie-annonce TN
Banlieue Nord,600.0,60,A louer,Tunisie-annonce TN
Banlieue Nord,770000.0,1,A vendre,Jumia TN
Banlieue Nord,395000.0,138,A vendre,Jumia TN
Ariana,1050.0,140,A louer,Tunisie-annonce TN
Tunis,450.0,,A louer,Tunisie-annonce TN
Ariana,344123.0,,A vendre,Jumia TN
Banlieue Nord,435000.0,162,A vendre,Jumia TN
Sousse,350000.0,250,A vendre,Jumia TN
Ariana,335000.0,140,A vendre,Jumia TN
Sousse,280000.0,220,A vendre,Jumia TN
Banlieue Nord,330000.0,1,A vendre,Jumia TN
Nabeul,380000.0,107,A vendre,Jumia TN
Nabeul,240000.0,157,A vendre,Jumia TN
Ariana,328960.0,132,A vendre,Jumia TN
Banlieue Nord,450000.0,159,A vendre,Jumia TN
Sousse,320000.0,,A vendre,Jumia TN
Ariana,288418.0,125,A vendre,Jumia TN
Banlieue Nord,225000.0,110,A vendre,Jumia TN
Sousse,250000.0,180,A vendre,Jumia TN
Banlieue Nord,850.0,70,A louer,Tunisie-annonce TN
Banlieue Nord,1200.0,212,A louer,Tunisie-annonce TN
Banlieue Nord,320000.0,,A vendre,Jumia TN
Banlieue Nord,1050000.0,245,A vendre,Jumia TN
Tunis,780.0,,A louer,Tunisie-annonce TN
Tunis,780.0,,A louer,Tunisie-annonce TN
Sousse,195000.0,120,A vendre,Jumia TN
Ariana,315000.0,162,A vendre,Jumia TN
Sousse,520000.0,192,A vendre,Jumia TN
Banlieue Nord,230000.0,1,A vendre,Jumia TN
Banlieue Nord,580000.0,1,A vendre,Jumia TN
Banlieue Nord,501000.0,180,A vendre,Jumia TN
Ariana,272000.0,129,A vendre,Jumia TN
Mannouba,130000.0,105,A vendre,Jumia TN
Sousse,180000.0,76,A vendre,Jumia TN
Ariana,180000.0,147,A vendre,Jumia TN
Nabeul,130000.0,65,A vendre,Jumia TN
Sousse,280000.0,155,A vendre,Jumia TN
Monastir,15000.0,35,A louer,Tunisie-annonce TN
Mahdia,414500.0,145,A vendre,Jumia TN
Ariana,650.0,65,A louer,Tunisie-annonce TN
Ariana,375000.0,156,A vendre,Jumia TN
Banlieue Nord,600000.0,1,A vendre,Jumia TN
Banlieue Nord,7300.0,450,A louer,Tunisie-annonce TN
Nabeul,9999.0,110,A louer,Tunisie-annonce TN
Ben arous,450.0,104,A louer,Tunisie-annonce TN
Ariana,200.0,60,A louer,Tunisie-annonce TN
Ariana,100.0,90,A louer,Tunisie-annonce TN
Ariana,100.0,150,A louer,Tunisie-annonce TN
Sousse,1500.0,300,A louer,Tunisie-annonce TN
Ariana,180.0,90,A louer,Tunisie-annonce TN
Cite el khadra,1500.0,140,A louer,Tunisie-annonce TN
Ariana,12000.0,10000,A louer,Tunisie-annonce TN
Tunis,1600.0,,A louer,Tunisie-annonce TN
Ben arous,520.0,98,A louer,Tunisie-annonce TN
Djerba,296000.0,150,A vendre,Jumia TN
Sousse,200000.0,115,A vendre,Jumia TN
Ben arous,400.0,100,A louer,Tunisie-annonce TN
Sousse,245000.0,,A vendre,Jumia TN
Sousse,256000.0,160,A vendre,Jumia TN
Mannouba,550.0,96,A louer,Tunisie-annonce TN
Sousse,72000.0,50,A vendre,Jumia TN
Banlieue Nord,2000.0,170,A louer,Tunisie-annonce TN
Ariana,120.0,180,A louer,Tunisie-annonce TN
Sousse,106000.0,,A vendre,Jumia TN
Nabeul,2000.0,,A louer,Tunisie-annonce TN
Ben arous,350.0,83,A louer,Tunisie-annonce TN
Banlieue Nord,700000.0,,A vendre,Jumia TN
Sousse,220000.0,,A vendre,Jumia TN
Banlieue Nord,590000.0,200,A vendre,Jumia TN
Ben arous,580.0,105,A louer,Tunisie-annonce TN
Ben arous,180000.0,112,A vendre,Jumia TN
Ariana,110.0,130,A louer,Tunisie-annonce TN
Sousse,225000.0,120,A vendre,Jumia TN
