,Extraction_date,Marketplace,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
4390,2018-07-16T08:33:56,Tayara TN,4f482adc-7038-40f9-9ef8-425bb9bfc57c,Appartement,Appartement S+2 Cite La Sante Borj Louzir,"Ariana, Borj Louzir",Appartements,m²,3.0,,400.0,400dt,https://www.tayara.tn/listings/appartements-2/4f482adc-7038-40f9-9ef8-425bb9bfc57c/appartement-s+2-cite-la-sante-borj-louzir
4393,2018-07-16T08:33:50,Tayara TN,4f3d7913-7fdd-422e-a2bb-30bddb34a473,Appartement,Appartement À Location Estivale,"Tunis, Autres villes",Appartements,m²,4.0,,200.0,"Appartement à Jinén béni Khiar richement meublé s+3 de capacité maximale de 6 personnes, vue de mer, 5 ème position de la mer , climatisé, télévision, bien équipé .. deux chambres suites et une chambre single * Prix : 200 dt la nuitée (péyable avant le séjour et non remboursable) * réservation minimale de 4 nuitées .",https://www.tayara.tn/listings/appartements-2/4f3d7913-7fdd-422e-a2bb-30bddb34a473/appartement-à-location-estivale
4394,2018-07-16T08:33:49,Tayara TN,53bea033-f460-431b-a104-0b7cc82bba61,Appartement,"Appart S+1 Bureautique, Ain Zaghouan","Tunis, L'aouina",Appartements,m²,1.0,,1000.0,"On met en location un appartement S+1, usage bureautique, dans une résidence bureautique sur l'avenu principale de Khaled Ibn El Walid Ain Zaghouan. Il se compose d’un salon avec balcon, une cuisine est équipée avec des éléments de rangements. Une chambres à coucher et une salle de douche. l'appartement est équipé avec chauffage central installé dans toutes les pièces. N'hésitez pas à nous contacter au 58 28 20 28.",https://www.tayara.tn/listings/appartements-2/53bea033-f460-431b-a104-0b7cc82bba61/appart-s+1-bureautique-ain-zaghouan
4395,2018-07-16T08:33:45,Tayara TN,55cbb7bd-b315-487c-b4ed-855b3c5bc823,Appartement,Appartement,"Sousse, Sousse",Appartements,m²,1.0,,0.0,appartement s+1 avec une salle de bain et une salle d'eau une grande chambre un grand terrasse une grande cuisine encastrée une grande sallon climatisée à sousse prés du hotel samara khzema avec possibilitée louer par nuit num: 98980450,https://www.tayara.tn/listings/appartements-2/55cbb7bd-b315-487c-b4ed-855b3c5bc823/appartement
4396,2018-07-16T08:33:44,Tayara TN,53a330a5-3843-43c8-974f-4c0a19aff6d7,Appartement,Bardo Khaznadar S+2,"Tunis, Tunis",Appartements,m²,3.0,,700.0,bardo kaznadar s+2 prés métro avec clim chauffage assesseur notre agence immobilière 53434325,https://www.tayara.tn/listings/appartements-2/53a330a5-3843-43c8-974f-4c0a19aff6d7/bardo-khaznadar-s+2
4399,2018-07-16T08:33:39,Tayara TN,53425d45-7ec3-41ac-ab34-6859682ed8f8,Appartement,Location El Mourouj 5 Appartement Tel97567250,"Ben arous, El Mourouj",Appartements,m²,3.0,,400.0,LOCATION EL MOUROUJ 5 APPARTEMENT: SALON + 2CHAMBRE+CUISINE+SALLE DE BAIN SIS A RESIDENCE ESSOUNBOULA EL JAMILA REZ DE CHAUSSE TEL 97 567250,https://www.tayara.tn/listings/appartements-2/53425d45-7ec3-41ac-ab34-6859682ed8f8/location-el-mourouj-5-appartement-tel97567250-
4400,2018-07-16T08:33:39,Tayara TN,4f21261d-2d6a-4fc3-afae-3d91b9e5ac5e,Appartement,S+2 Meublé Pour Des Étrangers À Jardin L'Aouina,"Tunis, L'aouina",Appartements,m²,2.0,,1200.0,réf: AL007 Pour des étrangers à louer un appartement très propre et soigneusement meublée au jardin de laouina près du lac et carrefour dans une bonne residence bien sécurisée avec des caméras de surveillance installés sur la route principale près de toute les commodités café luxe restaurant magasins banques Cet appartement très Haut standing se compose d'une salon et deux chambres de nuit finement meublées avec un chauffage centrale et trois climatiseurs installés pour longue durée. pour plus d’information veuillez contacter notre agent en immobilier sami 90 175000.,https://www.tayara.tn/listings/appartements-2/4f21261d-2d6a-4fc3-afae-3d91b9e5ac5e/s+2-meublé-pour-des-étrangers-à-jardin-l'aouina
4403,2018-07-16T08:33:33,Tayara TN,533264ad-c3d7-4f51-8ecc-e88f0a1158f1,Appartement,Appartement Meublé À Bardo,"Tunis, Le Bardo",Appartements,m²,3.0,,500.0,"offre n:917 A louer appartement meublé comporte salon avec deux chambres à coucher , cuisine,se à bardo",https://www.tayara.tn/listings/appartements-2/533264ad-c3d7-4f51-8ecc-e88f0a1158f1/appartement-meublé-à-bardo
4405,2018-07-16T08:33:28,Tayara TN,4cb58441-92dd-47cd-b571-32b835e84fdc???-??????-??-????-????-?????-????-???????,Appartement,??? ?????? ?? ???? ???? ????? ???? ???????,"Tunis, Autres villes",Appartements,m²,3.0,,180.0,??? ??????? ????? 2???? ????? ???? ????? ???? ???? ?????180,https://www.tayara.tn/listings/appartements-2/4cb58441-92dd-47cd-b571-32b835e84fdc/???-??????-??-????-????-?????-????-???????
4407,2018-07-16T08:33:23,Tayara TN,4c918136-8377-49ca-a53c-639e04abf684,Appartement,Appartement Meublee Par Jour,"La manouba, Manouba Ville",Appartements,m²,2.0,,195.0,"location appartement meublee s1 par jour (minimum 3 jours a 195dt), climatiseur, chauffage centrale, interphone. Appartement dans un résidence moderne, situé dans un quartier calme et proche du arret metro moncef bey-manouba (5 min a pied). avec un salon lumineux qui ouvre sur un balcon, une chambre a coucher, cuisine bien equipée et salle d eau + douche, parking gratuit, la residence est garder jour et nuit 7/7. prix 65 dt/par jour (inklu eau, électricité, gaz). Tel: 71 600 450. Port: 53 520 523",https://www.tayara.tn/listings/appartements-2/4c918136-8377-49ca-a53c-639e04abf684/appartement-meublee-par-jour
