,Country,Price
955,Mannouba,350.0
960,Ariana,4800.0
962,Bizerte,600.0
963,Monastir,100.0
966,Nabeul,550.0
969,Tunis,750.0
970,Sfax,1000.0
971,Bizerte,350.0
973,Bizerte,2500.0
974,Ariana,1000.0
976,Sousse,600.0
977,Banlieue Nord,2000.0
979,Monastir,350.0
980,Banlieue Nord,2300.0
982,Ben arous,1500.0
984,Ben arous,1200.0
986,Sousse,450.0
987,Tunis,550.0
989,Ben arous,300.0
991,Ben arous,450.0
992,Mahdia,50000.0
993,Nabeul,80.0
994,Bizerte,2500.0
996,Sfax,680.0
999,Tunis,350.0
1002,Bizerte,600.0
1005,Ariana,900.0
1008,Ariana,450.0
1020,Ariana,1200.0
1022,Banlieue Nord,1800.0
1030,Sousse,1200.0
1031,Ariana,1200.0
1032,Mannouba,260.0
1033,Mannouba,370.0
1034,Ariana,1100.0
1035,Ariana,750.0
1036,Ariana,700.0
1037,Ariana,1400.0
1038,Ariana,1300.0
1039,Ariana,1000.0
1040,Banlieue Nord,1500.0
1041,Banlieue Nord,2000.0
1042,Banlieue Nord,2000.0
1043,Ariana,4000.0
1044,Ariana,900.0
1045,Ariana,750.0
1046,Banlieue Nord,1200.0
1047,Ben arous,1200.0
1048,Banlieue Nord,2500.0
1049,Banlieue Nord,3200.0
1052,Ben arous,500.0
1054,Tunis,200.0
1056,Sfax,380.0
1059,Gabes,250.0
1060,Gabes,370.0
1063,Ariana,950.0
1065,Gabes,270.0
1067,Sfax,600.0
1068,Banlieue Nord,700.0
1070,Ariana,500.0
1072,Ariana,2500.0
1074,Mannouba,250.0
1075,Ariana,400.0
1077,Banlieue Nord,750.0
1080,Banlieue Nord,4500.0
1081,Sousse,800.0
1084,Nabeul,380.0
1086,Ben arous,460.0
1089,Nabeul,140.0
1093,Nabeul,380.0
1095,Bardo,450.0
1097,Nabeul,400.0
1100,Nabeul,420.0
1102,Sousse,900.0
1103,Sousse,550.0
1105,Nabeul,700.0
1108,Sousse,700.0
1109,Ariana,1200.0
1110,Ariana,2100.0
1111,Ben arous,10000.0
1114,Banlieue Nord,150.0
1116,Nabeul,850.0
1118,Bardo,1000.0
1120,Nabeul,340.0
1121,Nabeul,340.0
1123,Ariana,900.0
1125,Ariana,3500.0
1128,Ariana,180.0
1130,Sousse,600.0
1132,Ariana,700.0
1135,Banlieue Nord,1800.0
1137,Nabeul,120.0
1138,Banlieue Nord,3000.0
1140,Tunis,290.0
1142,Monastir,200.0
1145,Banlieue Nord,120.0
1147,Ariana,600.0
1149,Sfax,530.0
1150,Sousse,500.0
1152,Ariana,1200.0
1153,Banlieue Nord,3000.0
